conf,matched_queries,title,citation_count,code_url,pdf_url,authors,abstract
TAFFC2023,,Deep Siamese Neural Networks for Facial Expression Recognition in the Wild.,,,,"Wassan Hayale,Pooran Singh Negi,Mohammad H. Mahoor",
TAFFC2022,,Lexicon-Based Sentiment Convolutional Neural Networks for Online Review Analysis.,,,,"Minghui Huang,Haoran Xie,Yanghui Rao,Yuwei Liu,Leonard K. M. Poon,Fu Lee Wang",
TAFFC2023,,Geometry-Aware Facial Expression Recognition via Attentive Graph Convolutional Networks.,,,,"Rui Zhao,Tianshan Liu,Zixun Huang,Daniel Pak-Kong Lun,Kin-Man Lam",
TAFFC2022,,Adapting the Interplay Between Personalized and Generalized Affect Recognition Based on an Unsupervised Neural Framework.,,,,"Pablo V. A. Barros,Emilia I. Barakova,Stefan Wermter",
TAFFC2022,,Deep Temporal Analysis for Non-Acted Body Affect Recognition.,,,,"Danilo Avola,Luigi Cinque,Alessio Fagioli,Gian Luca Foresti,Cristiano Massaroni",
TAFFC2023,,Werewolf-XL: A Database for Identifying Spontaneous Affect in Large Competitive Group Interactions.,,,,"Kejun Zhang,Xinda Wu,Xinhang Xie,Xiaoran Zhang,Hui Zhang,Xiaoyu Chen,Lingyun Sun",
TAFFC2022,,Leaders and Followers Identified by Emotional Mimicry During Collaborative Learning: A Facial Expression Recognition Study on Emotional Valence.,,,,"Muhterem Dindar,Sanna Järvelä,Sara Ahola,Xiaohua Huang,Guoying Zhao",
TAFFC2023,,Chunk-Level Speech Emotion Recognition: A General Framework of Sequence-to-One Dynamic Temporal Modeling.,,,,"Wei-Cheng Lin,Carlos Busso",
TAFFC2022,,Affective Video Content Analysis via Multimodal Deep Quality Embedding Network.,,,,"Yaochen Zhu,Zhenzhong Chen,Feng Wu",
TAFFC2023,,Data Augmentation via Face Morphing for Recognizing Intensities of Facial Emotions.,,,,"Tsung-Ren Huang,Shin-Min Hsu,Li-Chen Fu",
TAFFC2023,,Facial Expression Recognition With Visual Transformers and Attentional Selective Fusion.,,,,"Fuyan Ma,Bin Sun,Shutao Li",
TAFFC2022,,Adapted Dynamic Memory Network for Emotion Recognition in Conversation.,,,,"Songlong Xing,Sijie Mai,Haifeng Hu",
TAFFC2023,,Collecting Mementos: A Multimodal Dataset for Context-Sensitive Modeling of Affect and Memory Processing in Responses to Videos.,,,,"Bernd Dudzik,Hayley Hung,Mark A. Neerincx,Joost Broekens",
TAFFC2022,,Affective Words and the Company They Keep: Studying the Accuracy of Affective Word Lists in Determining Sentence and Word Valence in a Domain-Specific Corpus.,,,,"Nadine Braun,Martijn Goudbeek,Emiel Krahmer",
TAFFC2023,,Impact of Facial Landmark Localization on Facial Expression Recognition.,,,,"Romain Belmonte,Benjamin Allaert,Pierre Tirilly,Ioan Marius Bilasco,Chaabane Djeraba,Nicu Sebe",
TAFFC2022,,RFAU: A Database for Facial Action Unit Analysis in Real Classrooms.,,,,"Qiaoping Hu,Chuanneng Mei,Fei Jiang,Ruimin Shen,Yitian Zhang,Ce Wang,Junpeng Zhang",
TAFFC2023,,Learning Users Inner Thoughts and Emotion Changes for Social Media Based Suicide Risk Detection.,,,,"Lei Cao,Huijun Zhang,Xin Wang,Ling Feng",
TAFFC2022,,Phase Space Reconstruction Driven Spatio-Temporal Feature Learning for Dynamic Facial Expression Recognition.,,,,"Shanmin Wang,Hui Shuai,Qingshan Liu",
TAFFC2023,,Improving Textual Emotion Recognition Based on Intra- and Inter-Class Variations.,,,,"Hassan Alhuzali,Sophia Ananiadou",
TAFFC2023,,Learning Enhanced Acoustic Latent Representation for Small Scale Affective Corpus with Adversarial Cross Corpora Integration.,,,,"Chun-Min Chang,Chi-Chun Lee",
TAFFC2022,,Identifying Cortical Brain Directed Connectivity Networks From High-Density EEG for Emotion Recognition.,,,,"Hailing Wang,Xia Wu,Li Yao",
TAFFC2023,,Learning Transferable Sparse Representations for Cross-Corpus Facial Expression Recognition.,,,,"Dongliang Chen,Peng Song,Wenming Zheng",
TAFFC2022,,Emotion Dependent Domain Adaptation for Speech Driven Affective Facial Feature Synthesis.,,,,"Rizwan Sadiq,Engin Erzin",
TAFFC2023,,"The Multimodal Sentiment Analysis in Car Reviews (MuSe-CaR) Dataset: Collection, Insights and Improvements.",,,,"Lukas Stappen,Alice Baird,Lea Schumann,Björn W. Schuller",
TAFFC2023,,You're Not You When You're Angry: Robust Emotion Features Emerge by Recognizing Speakers.,,,,"Zakaria Aldeneh,Emily Mower Provost",
TAFFC2022,,An Efficient LSTM Network for Emotion Recognition From Multichannel EEG Signals.,,,,"Xiaobing Du,Cuixia Ma,Guanhua Zhang,Jinyao Li,Yu-Kun Lai,Guozhen Zhao,Xiaoming Deng,Yong-Jin Liu,Hongan Wang",
TAFFC2022,,Self-Supervised ECG Representation Learning for Emotion Recognition.,,,,"Pritam Sarkar,Ali Etemad",
TAFFC2022,,EmoSen: Generating Sentiment and Emotion Controlled Responses in a Multimodal Dialogue System.,,,,"Mauajama Firdaus,Hardik Chauhan,Asif Ekbal,Pushpak Bhattacharyya",
TAFFC2023,,Multimodal Affective States Recognition Based on Multiscale CNNs and Biologically Inspired Decision Fusion Model.,,,,"Yuxuan Zhao,Xinyan Cao,Jinlong Lin,Dunshan Yu,Xixin Cao",
TAFFC2022,,Learning Continuous Facial Actions From Speech for Real-Time Animation.,,,,"Hai Xuan Pham,Yuting Wang,Vladimir Pavlovic",
TAFFC2023,,Dual Learning for Joint Facial Landmark Detection and Action Unit Recognition.,,,,"Shangfei Wang,Yanan Chang,Can Wang",
TAFFC2022,,A Deep Multiscale Spatiotemporal Network for Assessing Depression From Facial Dynamics.,,,,"Wheidima Carneiro de Melo,Eric Granger,Abdenour Hadid",
TAFFC2023,,CPED: A Chinese Positive Emotion Database for Emotion Elicitation and Analysis.,,,,"Yulin Zhang,Guozhen Zhao,Yezhi Shu,Yan Ge,Dan Zhang,Yong-Jin Liu,Xianghong Sun",
TAFFC2022,,Facial Depression Recognition by Deep Joint Label Distribution and Metric Learning.,,,,"Xiuzhuang Zhou,Zeqiang Wei,Min Xu,Shan Qu,Guodong Guo",
TAFFC2023,,Examining Emotion Perception Agreement in Live Music Performance.,,,,"Simin Yang,Courtney N. Reed,Elaine Chew,Mathieu Barthet",
TAFFC2023,,EmoNet: A Transfer Learning Framework for Multi-Corpus Speech Emotion Recognition.,,,,"Maurice Gerczuk,Shahin Amiriparian,Sandra Ottl,Björn W. Schuller",
TAFFC2023,,AT2GRU: A Human Emotion Recognition Model With Mitigated Device Heterogeneity.,,,,"Pritam Khan,Priyesh Ranjan,Sudhir Kumar",
TAFFC2022,,Aspect-Opinion Correlation Aware and Knowledge-Expansion Few Shot Cross-Domain Sentiment Classification.,,,,"Haopeng Ren,Yi Cai,Yushi Zeng,Jinghui Ye,Ho-fung Leung,Qing Li",
TAFFC2022,,Affective Dynamics and Cognition During Game-Based Learning.,,,,"Elizabeth B. Cloude,Daryn A. Dever,Debbie L. Hahs-Vaughn,Andrew Emerson,Roger Azevedo,James C. Lester",
TAFFC2023,,Exploring the Contextual Factors Affecting Multimodal Emotion Recognition in Videos.,,,,"Prasanta Bhattacharya,Raj Kumar Gupta,Yinping Yang",
TAFFC2022,,Aspect-Based Sentiment Quantification.,,,,"Vladyslav Matsiiako,Flavius Frasincar,David Boekestijn",
TAFFC2022,,IAF-LG: An Interactive Attention Fusion Network With Local and Global Perspective for Aspect-Based Sentiment Analysis.,,,,"Ambreen Nazir,Yuan Rao,Lianwei Wu,Ling Sun",
TAFFC2022,,Causal Narrative Comprehension: A New Perspective for Emotion Cause Extraction.,,,,"Wei Cao,Kun Zhang,Shulan Ruan,Hanqing Tao,Sirui Zhao,Hao Wang,Qi Liu,Enhong Chen",
TAFFC2023,,Discerning Affect From Touch and Gaze During Interaction With a Robot Pet.,,,,"Xi Laura Cang,Paul Bucci,Jussi Rantala,Karon E. MacLean",
TAFFC2022,,Improving the Performance of Sentiment Analysis Using Enhanced Preprocessing Technique and Artificial Neural Network.,,,,"Ankit Thakkar,Dhara A. Mungra,Anjali Agrawal,Kinjal Chaudhari",
TAFFC2023,,Few-Shot Learning in Emotion Recognition of Spontaneous Speech Using a Siamese Neural Network With Adaptive Sample Pair Formation.,,,,"Kexin Feng,Theodora Chaspari",
TAFFC2022,,What Lies Beneath - A Survey of Affective Theory Use in Computational Models of Emotion.,,,,"Geneva Smith,Jacques Carette",
TAFFC2023,,Survey of Deep Representation Learning for Speech Emotion Recognition.,,,,"Siddique Latif,Rajib Rana,Sara Khalifa,Raja Jurdak,Junaid Qadir,Björn W. Schuller",
TAFFC2023,,A Review of Affective Computing Research Based on Function-Component-Representation Framework.,,,,"Haiwei Ma,Svetlana Yarosh",
TAFFC2022,,EEG-Video Emotion-Based Summarization: Learning With EEG Auxiliary Signals.,,,,"Wai-Cheong Lincoln Lew,Di Wang,Kai Keng Ang,Joo-Hwee Lim,Chai Quek,Ah-Hwee Tan",
TAFFC2023,,Automatic Emotion Recognition in Clinical Scenario: A Systematic Review of Methods.,,,,"Lucia Pepa,Luca Spalazzi,Marianna Capecci,Maria Gabriella Ceravolo",
TAFFC2023,,A Re-Analysis and Synthesis of Data on Affect Dynamics in Learning.,,,,"Shamya Karumbaiah,Ryan S. Baker,Jaclyn Ocumpaugh,Juliana Ma. Alexandra L. Andres",
TAFFC2023,,Guest Editorial Neurosymbolic AI for Sentiment Analysis.,,,,"Frank Xing,Björn W. Schuller,Iti Chaturvedi,Erik Cambria,Amir Hussain",
TAFFC2022,,Disentangling Identity and Pose for Facial Expression Recognition.,,,,"Jing Jiang,Weihong Deng",
TAFFC2023,,TSSRD: A Topic Sentiment Summarization Framework Based on Reaching Definition.,,,,"Xiaodong Li,Chenxin Zou,Pangjing Wu,Qing Li",
TAFFC2022,,Towards Contrastive Context-Aware Conversational Emotion Recognition.,,,,"Hanqing Zhang,Dawei Song",
TAFFC2023,,Meta-Based Self-Training and Re-Weighting for Aspect-Based Sentiment Analysis.,,,,"Kai He,Rui Mao,Tieliang Gong,Chen Li,Erik Cambria",
TAFFC2022,,Quality-Aware Bag of Modulation Spectrum Features for Robust Speech Emotion Recognition.,,,,"Shruti Rajendra Kshirsagar,Tiago H. Falk",
TAFFC2023,,The Biases of Pre-Trained Language Models: An Empirical Study on Prompt-Based Sentiment Analysis and Emotion Detection.,,,,"Rui Mao,Qian Liu,Kai He,Wei Li,Erik Cambria",
TAFFC2022,,Semantic-Rich Facial Emotional Expression Recognition.,,,,"Keyu Chen,Xu Yang,Changjie Fan,Wei Zhang,Yu Ding",
TAFFC2023,,ECPEC: Emotion-Cause Pair Extraction in Conversations.,,,,"Wei Li,Yang Li,Vlad Pandelea,Mengshi Ge,Luyao Zhu,Erik Cambria",
TAFFC2022,,An Efficient Framework for Constructing Speech Emotion Corpus Based on Integrated Active Learning Strategies.,,,,"Fuji Ren,Zheng Liu,Xin Kang",
TAFFC2023,,A Reinforcement Learning Based Two-Stage Model for Emotion Cause Pair Extraction.,,,,"Xinhong Chen,Qing Li,Zongxi Li,Haoran Xie,Fu Lee Wang,Jianping Wang",
TAFFC2022,,Joint Feature Adaptation and Graph Adaptive Label Propagation for Cross-Subject Emotion Recognition From EEG Signals.,,,,"Yong Peng,Wenjuan Wang,Wanzeng Kong,Feiping Nie,Bao-Liang Lu,Andrzej Cichocki",
TAFFC2022,,Unsupervised Personalization of an Emotion Recognition System: The Unique Properties of the Externalization of Valence in Speech.,,,,"Kusha Sridhar,Carlos Busso",
TAFFC2023,,Sentiment- Emotion- and Context-Guided Knowledge Selection Framework for Emotion Recognition in Conversations.,,,,"Geng Tu,Bin Liang,Dazhi Jiang,Ruifeng Xu",
TAFFC2023,,PerceptSent - Exploring Subjectivity in a Novel Dataset for Visual Sentiment Analysis.,,,,"Cesar Rafael Lopes,Rodrigo Minetto,Myriam Regattieri Delgado,Thiago H. Silva",
TAFFC2022,,Facial Expression Translation Using Landmark Guided GANs.,,,,"Hao Tang,Nicu Sebe",
TAFFC2023,,Multimodal Emotion-Cause Pair Extraction in Conversations.,,,,"Fanfan Wang,Zixiang Ding,Rui Xia,Zhaoyu Li,Jianfei Yu",
TAFFC2023,,AutoML-Emo: Automatic Knowledge Selection Using Congruent Effect for Emotion Identification in Conversations.,,,,"Dazhi Jiang,Runguo Wei,Jintao Wen,Geng Tu,Erik Cambria",
TAFFC2022,,Inconsistency-Based Multi-Task Cooperative Learning for Emotion Recognition.,,,,"Yifan Xu,Yuqi Cui,Xue Jiang,Yingjie Yin,Jingting Ding,Liang Li,Dongrui Wu",
TAFFC2023,,"An Overview of Facial Micro-Expression Analysis: Data, Methodology and Challenge.",,,,"Hong-Xia Xie,Ling Lo,Hong-Han Shuai,Wen-Huang Cheng",
TAFFC2023,,Emotion Recognition for Everyday Life Using Physiological Signals From Wearables: A Systematic Literature Review.,,,,"Stanislaw Saganowski,Bartosz Perz,Adam G. Polak,Przemyslaw Kazienko",
TAFFC2022,,FLEPNet: Feature Level Ensemble Parallel Network for Facial Expression Recognition.,,,,"Karnati Mohan,Ayan Seal,Anis Yazidi,Ondrej Krejcar",
TAFFC2023,,Self Supervised Adversarial Domain Adaptation for Cross-Corpus and Cross-Language Speech Emotion Recognition.,,,,"Siddique Latif,Rajib Rana,Sara Khalifa,Raja Jurdak,Björn W. Schuller",
TAFFC2022,,Self-Supervised Approach for Facial Movement Based Optical Flow.,,,,"Muhannad Alkaddour,Usman Tariq,Abhinav Dhall",
TAFFC2023,,Probabilistic Attribute Tree Structured Convolutional Neural Networks for Facial Expression Recognition in the Wild.,,,,"Jie Cai,Zibo Meng,Ahmed-Shehab Khan,Zhiyuan Li,James O'Reilly,Yan Tong",
TAFFC2022,,"Multiview Facial Expression Recognition, A Survey.",,,,"Mahdi Jampour,Malihe Javidi",
TAFFC2023,,Hierarchical Interactive Multimodal Transformer for Aspect-Based Multimodal Sentiment Analysis.,,,,"Jianfei Yu,Kai Chen,Rui Xia",
TAFFC2022,,Classifying Emotions and Engagement in Online Learning Based on a Single Facial Expression Recognition Neural Network.,,,,"Andrey V. Savchenko,Lyudmila V. Savchenko,Ilya Makarov",
TAFFC2023,,Counterfactual Representation Augmentation for Cross-Domain Sentiment Analysis.,,,,"Ke Wang,Xiaojun Wan",
TAFFC2022,,Dimensional Affect Uncertainty Modelling for Apparent Personality Recognition.,,,,"Mani Kumar Tellamekala,Timo Giesbrecht,Michel F. Valstar",
TAFFC2023,,Unsupervised Cross-Corpus Speech Emotion Recognition Using a Multi-Source Cycle-GAN.,,,,"Bo-Hao Su,Chi-Chun Lee",
TAFFC2022,,"Robust Audiovisual Emotion Recognition: Aligning Modalities, Capturing Temporal Information, and Handling Missing Features.",,,,"Lucas Goncalves,Carlos Busso",
TAFFC2022,,PARSE: Pairwise Alignment of Representations in Semi-Supervised EEG Learning for Emotion Recognition.,,,,"Guangyi Zhang,Vandad Davoodnia,Ali Etemad",
TAFFC2023,,GANSER: A Self-Supervised Data Augmentation Framework for EEG-Based Emotion Recognition.,,,,"Zhi Zhang,Yan Liu,Sheng-hua Zhong",
TAFFC2022,,A Dual-Branch Dynamic Graph Convolution Based Adaptive TransFormer Feature Fusion Network for EEG Emotion Recognition.,,,,"Mingyi Sun,Wei-Gang Cui,Shuyue Yu,Hongbin Han,Bin Hu,Yang Li",
TAFFC2023,,Facial Image-Based Automatic Assessment of Equine Pain.,,,,"Francisca Pessanha,Albert Ali Salah,Thijs J. P. A. M. van Loon,Remco C. Veltkamp",
TAFFC2022,,ER-Chat: A Text-to-Text Open-Domain Dialogue Framework for Emotion Regulation.,,,,"Shin Katayama,Shunsuke Aoki,Takuro Yonezawa,Tadashi Okoshi,Jin Nakazawa,Nobuo Kawaguchi",
TAFFC2023,,Personal-Zscore: Eliminating Individual Difference for EEG-Based Cross-Subject Emotion Recognition.,,,,"Huayu Chen,Shuting Sun,Jianxiu Li,Ruilan Yu,Nan Li,Xiaowei Li,Bin Hu",
TAFFC2022,,Modeling Real-World Affective and Communicative Nonverbal Vocalizations From Minimally Speaking Individuals.,,,,"Jaya Narain,Kristina T. Johnson,Thomas F. Quatieri,Rosalind W. Picard,Pattie Maes",
TAFFC2023,,A Novel Markovian Framework for Integrating Absolute and Relative Ordinal Emotion Information.,,,,"Jingyao Wu,Ting Dang,Vidhyasaharan Sethu,Eliathamby Ambikairajah",
conf,matched_queries,title,citation_count,code_url,pdf_url,authors,abstract
IF2021,,"Multimodal Video Sentiment Analysis Using Deep Learning Approaches, a Survey.",,,,"Sarah A. Abdu,Ahmed H. Yousef,Ashraf Salem",
IF2021,,"Multi-label, multi-task CNN approach for context-based emotion recognition.",,,,"Ilyes Bendjoudi,Frédéric Vanderhaegen,Denis Hamad,Fadi Dornaika",
IF2021,,A review of state-of-the-art in Face Presentation Attack Detection: From early development to advanced deep learning and multi-modal fusion methods.,,,,"Faseela Abdullakutty,Eyad Elyan,Pamela Johnston",
IF2021,,Hyperspectral-cube-based mobile face recognition: A comprehensive review.,,,,"Xianyi Zhang,Haitao Zhao",
IF2021,,Information fusion for affective computing and sentiment analysis.,,,,"Amir Hussain,Erik Cambria,Soujanya Poria,Ahmad Y. A. Hawalah,Francisco Herrera",
IF2021,,Phonetic-enriched text representation for Chinese sentiment analysis with reinforcement learning.,,,,"Haiyun Peng,Yukun Ma,Soujanya Poria,Yang Li,Erik Cambria",
IF2021,,Sentiment Analysis based Multi-Person Multi-criteria Decision Making methodology using natural language processing and deep learning for smarter decision aid. Case study of restaurant choice using TripAdvisor reviews.,,,,"Cristina Zuheros,Eugenio Martínez-Cámara,Enrique Herrera-Viedma,Francisco Herrera",
IF2021,,End-to-end multimodal affect recognition in real-world environments.,,,,"Panagiotis Tzirakis,Jiaxin Chen,Stefanos Zafeiriou,Björn W. Schuller",
IF2021,,"On the origin of the methodology for the scalable fusion of affective channels in a continuous emotional space and the ""emotional kinematics"" filtering technique - A correction.",,,,"Isabelle Hupont,Eva Cerezo,Sergio Ballano,Sandra Baldassarri",
IF2021,,A novel approach to stance detection in social media tweets by fusing ranked lists and sentiments.,,,,"Abdulrahman I. Al-Ghadir,Aqil M. Azmi,Amir Hussain",
IF2021,,Conversational transfer learning for emotion recognition.,,,,"Devamanyu Hazarika,Soujanya Poria,Roger Zimmermann,Rada Mihalcea",
IF2021,,DEAR-MULSEMEDIA: Dataset for emotion analysis and recognition in response to multiple sensorial media.,,,,"Aasim Raheel,Muhammad Majid,Syed Muhammad Anwar",
IF2021,,Quantum-inspired multimodal fusion for video sentiment analysis.,,,,"Qiuchi Li,Dimitris Gkoumas,Christina Lioma,Massimo Melucci",
IF2022,,An emotion role mining approach based on multiview ensemble learning in social networks.,,,,"Yajun Du,Yakun Wang,Jinrong Hu,Xianyong Li,Xiaoliang Chen",
IF2022,,"A systematic review on affective computing: emotion models, databases, and recent advances.",,,,"Yan Wang,Wei Song,Wei Tao,Antonio Liotta,Dawei Yang,Xinlei Li,Shuyong Gao,Yixuan Sun,Weifeng Ge,Wei Zhang,Wenqiang Zhang",
IF2022,,Deep Emotional Arousal Network for Multimodal Sentiment Analysis and Emotion Recognition.,,,,"Feng Zhang,Xi-Cheng Li,Chee Peng Lim,Qiang Hua,Chun-Ru Dong,Jun-Hai Zhai",
IF2022,,A public and large-scale expert information fusion method and its application: Mining public opinion via sentiment analysis and measuring public dynamic reliability.,,,,"Xiaohong Chen,Weiwei Zhang,Xuanhua Xu,Wenzhi Cao",
IF2022,,Emotion recognition based on convolutional neural networks and heterogeneous bio-signal data sources.,,,,"Wang Kay Ngai,Haoran Xie,Di Zou,Kee-Lee Chou",
IF2023,,Modality translation-based multimodal sentiment analysis under uncertain missing modalities.,,,,"Zhizhong Liu,Bin Zhou,Dianhui Chu,Yuhang Sun,Lingqiang Meng",
IF2023,,Emotion recognition from unimodal to multimodal analysis: A review.,,,,"Kaouther Ezzameli,Hela Mahersia",
IF2023,,InMyFace: Inertial and mechanomyography-based sensor fusion for wearable facial activity recognition.,,,,"Hymalai Bello,Luis Alfredo Sanchez Marin,Sungho Suh,Bo Zhou,Paul Lukowicz",
IF2023,,Explainable Crowd Decision Making methodology guided by expert natural language opinions based on Sentiment Analysis with Attention-based Deep Learning and Subgroup Discovery.,,,,"Cristina Zuheros,Eugenio Martínez-Cámara,Enrique Herrera-Viedma,Iyad A. Katib,Francisco Herrera",
conf,matched_queries,title,citation_count,code_url,pdf_url,authors,abstract
IJCV2021,,JÂA-Net: Joint Facial Action Unit Detection and Face Alignment Via Adaptive Attention.,,,,"Zhiwen Shao,Zhilei Liu,Jianfei Cai,Lizhuang Ma",
IJCV2021,,Face Image Reflection Removal.,,,,"Renjie Wan,Boxin Shi,Haoliang Li,Ling-Yu Duan,Alex C. Kot",
IJCV2022,,Personalized Convolution for Face Recognition.,,,,"Chunrui Han,Shiguang Shan,Meina Kan,Shuzhe Wu,Xilin Chen",
IJCV2022,,Adaptive Deep Disturbance-Disentangled Learning for Facial Expression Recognition.,,,,"Delian Ruan,Rongyun Mo,Yan Yan,Si Chen,Jing-Hao Xue,Hanzi Wang",
IJCV2021,,LAMP-HQ: A Large-Scale Multi-pose High-Quality Database and Benchmark for NIR-VIS Face Recognition.,,,,"Aijing Yu,Haoxue Wu,Huaibo Huang,Zhen Lei,Ran He",
IJCV2023,,Bipartite Graph Reasoning GANs for Person Pose and Facial Image Synthesis.,,,,"Hao Tang,Ling Shao,Philip H. S. Torr,Nicu Sebe",
IJCV2021,,Learning Deep Patch representation for Probabilistic Graphical Model-Based Face Sketch Synthesis.,,,,"Mingrui Zhu,Jie Li,Nannan Wang,Xinbo Gao",
IJCV2022,,Interpreting Face Inference Models Using Hierarchical Network Dissection.,,,,"Divyang Teotia,Àgata Lapedriza,Sarah Ostadabbas",
IJCV2023,,Free-view Face Relighting Using a Hybrid Parametric Neural Model on a SMALL-OLAT Dataset.,,,,"Youjia Wang,Kai He,Taotao Zhou,Kaixin Yao,Nianyi Li,Lan Xu,Jingyi Yu",
IJCV2023,,Sentimental Visual Captioning using Multimodal Transformer.,,,,"Xinxiao Wu,Tong Li",
IJCV2023,,Expression-Preserving Face Frontalization Improves Visually Assisted Speech Processing.,,,,"Zhiqi Kang,Mostafa Sadeghi,Radu Horaud,Xavier Alameda-Pineda",
IJCV2022,,Facial Kinship Verification: A Comprehensive Review and Outlook.,,,,"Xiaoting Wu,Xiaoyi Feng,Xiaochun Cao,Xin Xu,Dewen Hu,Miguel Bordallo López,Li Liu",
IJCV2023,,PhysFormer++: Facial Video-Based Physiological Measurement with SlowFast Temporal Difference Transformer.,,,,"Zitong Yu,Yuming Shen,Jingang Shi,Hengshuang Zhao,Yawen Cui,Jiehua Zhang,Philip H. S. Torr,Guoying Zhao",
IJCV2021,,Mitigating Demographic Bias in Facial Datasets with Style-Based Multi-attribute Transfer.,,,,"Markos Georgopoulos,James Oldfield,Mihalis A. Nicolaou,Yannis Panagakis,Maja Pantic",
IJCV2023,,Adversarial Learning Domain-Invariant Conditional Features for Robust Face Anti-spoofing.,,,,"Fangling Jiang,Qi Li,Pengcheng Liu,Xiang-Dong Zhou,Zhenan Sun",
IJCV2021,,Shape My Face: Registering 3D Face Scans by Surface-to-Surface Translation.,,,,"Mehdi Bahri,Eimear O' Sullivan,Shunwang Gong,Feng Liu,Xiaoming Liu,Michael M. Bronstein,Stefanos Zafeiriou",
IJCV2023,,SPL-Net: Spatial-Semantic Patch Learning Network for Facial Attribute Recognition with Limited Labeled Data.,,,,"Yan Yan,Ying Shu,Si Chen,Jing-Hao Xue,Chunhua Shen,Hanzi Wang",
IJCV2021,,Pixel-in-Pixel Net: Towards Efficient Facial Landmark Detection in the Wild.,,,,"Haibo Jin,Shengcai Liao,Ling Shao",
IJCV2023,,Towards Fine-Grained Optimal 3D Face Dense Registration: An Iterative Dividing and Diffusing Method.,,,,"Zhenfeng Fan,Silong Peng,Shihong Xia",
TAFFC2023,,"I Enjoy Writing and Playing, Do You?: A Personalized and Emotion Grounded Dialogue Agent Using Generative Adversarial Network.",,,,"Mauajama Firdaus,Naveen Thangavelu,Asif Ekbal,Pushpak Bhattacharyya",
TAFFC2023,,Audio-Visual Gated-Sequenced Neural Networks for Affect Recognition.,,,,"Decky Aspandi,Federico Sukno,Björn W. Schuller,Xavier Binefa",
TAFFC2023,,TSception: Capturing Temporal Dynamics and Spatial Asymmetry From EEG for Emotion Recognition.,,,,"Yi Ding,Neethu Robinson,Su Zhang,Qiuhao Zeng,Cuntai Guan",
TAFFC2023,,Hybrid Contrastive Learning of Tri-Modal Representation for Multimodal Sentiment Analysis.,,,,"Sijie Mai,Ying Zeng,Shuangjia Zheng,Haifeng Hu",
TAFFC2023,,Modelling Stochastic Context of Audio-Visual Expressive Behaviour With Affective Processes.,,,,"Mani Kumar Tellamekala,Timo Giesbrecht,Michel F. Valstar",
TAFFC2023,,Weakly-Supervised Learning for Fine-Grained Emotion Recognition Using Physiological Signals.,,,,"Tianyi Zhang,Abdallah El Ali,Chen Wang,Alan Hanjalic,Pablo César",
TAFFC2023,,THIN: THrowable Information Networks and Application for Facial Expression Recognition in the Wild.,,,,"Estèphe Arnaud,Arnaud Dapogny,Kévin Bailly",
TAFFC2023,,An Adversarial Training Based Speech Emotion Classifier With Isolated Gaussian Regularization.,,,,"Changzeng Fu,Chaoran Liu,Carlos Toshinori Ishi,Hiroshi Ishiguro",
TAFFC2023,,Boosting Facial Expression Recognition by A Semi-Supervised Progressive Teacher.,,,,"Jing Jiang,Weihong Deng",
TAFFC2023,,SMIN: Semi-Supervised Multi-Modal Interaction Network for Conversational Emotion Recognition.,,,,"Zheng Lian,Bin Liu,Jianhua Tao",
TAFFC2023,,Challenges in Evaluating Technological Interventions for Affect Regulation.,,,,"Pardis Miri,Horia Margarit,Andero Uusberg,Keith Marzullo,Tali M. Ball,Daniel Yamins,Robert Flory,James J. Gross",
TAFFC2023,,Effects of Physiological Signals in Different Types of Multimodal Sentiment Estimation.,,,,"Shun Katada,Shogo Okada,Kazunori Komatani",
TAFFC2023,,EEG-Based Emotion Recognition With Emotion Localization via Hierarchical Self-Attention.,,,,"Yuzhe Zhang,Huan Liu,Dalin Zhang,Xuxu Chen,Tao Qin,Qinghua Zheng",
TAFFC2023,,Emotion Distribution Learning Based on Peripheral Physiological Signals.,,,,"Yezhi Shu,Pei Yang,Niqi Liu,Shu Zhang,Guozhen Zhao,Yong-Jin Liu",
TAFFC2023,,Joint Local-Global Discriminative Subspace Transfer Learning for Facial Expression Recognition.,,,,"Wenjing Zhang,Peng Song,Wenming Zheng",
TAFFC2023,,Contrastive Learning of Subject-Invariant EEG Representations for Cross-Subject Emotion Recognition.,,,,"Xinke Shen,Xianggen Liu,Xin Hu,Dan Zhang,Sen Song",
TAFFC2023,,GMSS: Graph-Based Multi-Task Self-Supervised Learning for EEG Emotion Recognition.,,,,"Yang Li,Ji Chen,Fu Li,Boxun Fu,Hao Wu,Youshuo Ji,Yijin Zhou,Yi Niu,Guangming Shi,Wenming Zheng",
TAFFC2023,,Meta Auxiliary Learning for Facial Action Unit Detection.,,,,"Yong Li,Shiguang Shan",
TAFFC2023,,LQGDNet: A Local Quaternion and Global Deep Network for Facial Depression Recognition.,,,,"Yuanyuan Shang,Yuchen Pan,Xiao Jiang,Zhuhong Shao,Guodong Guo,Tie Liu,Hui Ding",
TAFFC2023,,Editorial: Special Issue on Unobtrusive Physiological Measurement Methods for Affective Applications.,,,,"Ioannis T. Pavlidis,Theodora Chaspari,Daniel McDuff",
TAFFC2023,,WiFE: WiFi and Vision Based Unobtrusive Emotion Recognition via Gesture and Facial Expression.,,,,"Yu Gu,Xiang Zhang,Huan Yan,Jingyang Huang,Zhi Liu,Mianxiong Dong,Fuji Ren",
