conf,matched_queries,title,citation_count,code_url,pdf_url,authors,abstract
TAFFC2022,,Facial Expression Recognition Using a Temporal Ensemble of Multi-Level Convolutional Neural Networks.,,,,"Hai Duong Nguyen,Sun-Hee Kim,Guee-Sang Lee,Hyung-Jeong Yang,In Seop Na,Soo-Hyung Kim",
TAFFC2021,,"AMIGOS: A Dataset for Affect, Personality and Mood Research on Individuals and Groups.",,,,"Juan Abdon Miranda Correa,Mojtaba Khomami Abadi,Nicu Sebe,Ioannis Patras",
TAFFC2023,,Audio Features for Music Emotion Recognition: A Survey.,,,,"Renato Panda,Ricardo Malheiro,Rui Pedro Paiva",
TAFFC2022,,Affective Audio Annotation of Public Speeches with Convolutional Clustering Neural Network.,,,,"Jiahao Xu,Boyan Zhang,Zhiyong Wang,Yang Wang,Fang Chen,Junbin Gao,David Dagan Feng",
TAFFC2021,,A Bi-Hemisphere Domain Adversarial Neural Network Model for EEG Emotion Recognition.,,,,"Yang Li,Wenming Zheng,Yuan Zong,Zhen Cui,Tong Zhang,Xiaoyan Zhou",
TAFFC2023,,Automatic Emotion Recognition for Groups: A Review.,,,,"Emmeke Veltmeijer,Charlotte Gerritsen,Koen V. Hindriks",
TAFFC2022,,Participatory Design of Affective Technology: Interfacing Biomusic and Autism.,,,,"Florian Grond,Rossio Motta-Ochoa,Natalie Miyake,Tamar Tembeck,Melissa Park,Stefanie Blain-Moraes",
TAFFC2023,,Beneath the Tip of the Iceberg: Current Challenges and New Directions in Sentiment Analysis Research.,,,,"Soujanya Poria,Devamanyu Hazarika,Navonil Majumder,Rada Mihalcea",
TAFFC2021,,Deep Learning for Human Affect Recognition: Insights and New Developments.,,,,"Philipp V. Rouast,Marc T. P. Adam,Raymond Chiong",
TAFFC2022,,Affective Impression: Sentiment-Awareness POI Suggestion via Embedding in Heterogeneous LBSNs.,,,,"Xi Xiong,Shaojie Qiao,Nan Han,Yuanyuan Li,Fei Xiong,Ling He",
TAFFC2021,,Facial Expression Recognition with Identity and Emotion Joint Learning.,,,,"Ming Li,Hao Xu,Xingchang Huang,Zhanmei Song,Xiaolin Liu,Xin Li",
TAFFC2022,,"All-in-One: Emotion, Sentiment and Intensity Prediction Using a Multi-Task Ensemble Framework.",,,,"Md. Shad Akhtar,Deepanway Ghosal,Asif Ekbal,Pushpak Bhattacharyya,Sadao Kurohashi",
TAFFC2021,,Special Issue on Automated Perception of Human Affect from Longitudinal Behavioral Data.,,,,"Pablo V. A. Barros,Stefan Wermter,Ognjen Rudovic,Hatice Gunes",
TAFFC2022,,"PersEmoN: A Deep Network for Joint Analysis of Apparent Personality, Emotion and Their Relationship.",,,,"Le Zhang,Songyou Peng,Stefan Winkler",
TAFFC2021,,EmoBed: Strengthening Monomodal Emotion Recognition via Training with Crossmodal Emotion Embeddings.,,,,"Jing Han,Zixing Zhang,Zhao Ren,Björn W. Schuller",
TAFFC2023,,Self-Supervised Learning of Person-Specific Facial Dynamics for Automatic Personality Recognition.,,,,"Siyang Song,Shashank Jaiswal,Enrique Sánchez-Lozano,Georgios Tzimiropoulos,Linlin Shen,Michel F. Valstar",
TAFFC2021,,Spatio-Temporal Encoder-Decoder Fully Convolutional Network for Video-Based Dimensional Emotion Recognition.,,,,"Zhengyin Du,Suowei Wu,Di Huang,Weixin Li,Yunhong Wang",
TAFFC2023,,Detecting Dependency-Related Sentiment Features for Aspect-Level Sentiment Classification.,,,,"Xing Zhang,Jingyun Xu,Yi Cai,Xingwei Tan,Changxi Zhu",
TAFFC2022,,Multi-Fusion Residual Memory Network for Multimodal Human Sentiment Comprehension.,,,,"Sijie Mai,Haifeng Hu,Jia Xu,Songlong Xing",
TAFFC2021,,Modeling Emotion in Complex Stories: The Stanford Emotional Narratives Dataset.,,,,"Desmond C. Ong,Zhengxuan Wu,Zhi-Xuan Tan,Marianne Reddan,Isabella Kahhale,Alison Mattek,Jamil Zaki",
TAFFC2022,,Facial Expressions of Comprehension (FEC).,,,,"Cigdem Turan,Karl David Neergaard,Kin-Man Lam",
TAFFC2021,,Exploiting Multi-CNN Features in CNN-RNN Based Dimensional Emotion Recognition on the OMG in-the-Wild Dataset.,,,,"Dimitrios Kollias,Stefanos Zafeiriou",
TAFFC2022,,Affect in Multimedia: Benchmarking Violent Scenes Detection.,,,,"Mihai Gabriel Constantin,Liviu-Daniel Stefan,Bogdan Ionescu,Claire-Hélène Demarty,Mats Sjöberg,Markus Schedl,Guillaume Gravier",
TAFFC2023,,FENP: A Database of Neonatal Facial Expression for Pain Analysis.,,,,"Jingjie Yan,Guanming Lu,Xiaonan Li,Wenming Zheng,Chengwei Huang,Zhen Cui,Yuan Zong,Mengying Chen,Qiang Hao,Yi Liu,Jindu Zhu,Haibo Li",
TAFFC2022,,GCB-Net: Graph Convolutional Broad Network and Its Application in Emotion Recognition.,,,,"Tong Zhang,Xuehan Wang,Xiangmin Xu,C. L. Philip Chen",
TAFFC2021,,Longitudinal Observational Evidence of the Impact of Emotion Regulation Strategies on Affective Expression.,,,,"Daniel McDuff,Eunice Jun,Kael Rowan,Mary Czerwinski",
TAFFC2023,,Silicon Coppélia and the Formalization of the Affective Process.,,,,"Johan F. Hoorn,Thomas Baier,Jeroen van Maanen,Jeroen Wester",
TAFFC2022,,Multiple Instance Learning for Emotion Recognition Using Physiological Signals.,,,,"Luca Romeo,Andrea Cavallo,Lucia Pepa,Nadia Bianchi-Berthouze,Massimiliano Pontil",
TAFFC2023,,Embedding Refinement Framework for Targeted Aspect-Based Sentiment Analysis.,,,,"Bin Liang,Rongdi Yin,Jiachen Du,Lin Gui,Yulan He,Min Yang,Ruifeng Xu",
TAFFC2021,,Using Circular Models to Improve Music Emotion Recognition.,,,,"Isabelle Dufour,George Tzanetakis",
TAFFC2022,,Leveraging the Deep Learning Paradigm for Continuous Affect Estimation from Facial Expressions.,,,,"Meshia Cédric Oveneke,Yong Zhao,Ercheng Pei,Abel Díaz Berenguer,Dongmei Jiang,Hichem Sahli",
TAFFC2021,,Autoencoder for Semisupervised Multiple Emotion Detection of Conversation Transcripts.,,,,"Duc Anh Phan,Yuji Matsumoto,Hiroyuki Shindo",
TAFFC2021,,A Mathematical Description of Emotional Processes and Its Potential Applications to Affective Computing.,,,,"Luca Puviani,Sidita Rama,Giorgio Matteo Vitetta",
TAFFC2021,,Cross-Cultural and Cultural-Specific Production and Perception of Facial Expressions of Emotion in the Wild.,,,,"Ramprakash Srinivasan,Aleix M. Martínez",
TAFFC2023,,Touching Virtual Humans: Haptic Responses Reveal the Emotional Impact of Affective Agents.,,,,"Imtiaj Ahmed,Ville J. Harjunen,Giulio Jacucci,Niklas Ravaja,Tuukka Ruotsalo,Michiel M. A. Spapé",
TAFFC2023,,Variational Instance-Adaptive Graph for EEG Emotion Recognition.,,,,"Tengfei Song,Suyuan Liu,Wenming Zheng,Yuan Zong,Zhen Cui,Yang Li,Xiaoyan Zhou",
TAFFC2023,,Emotional Attention Detection and Correlation Exploration for Image Emotion Distribution Learning.,,,,"Zhiwei Xu,Shangfei Wang",
